PARENT_PARK,NAME,TOTAL_AREA,YEAR,water_usage_summer,water_usage_autumn,water_usage_winter,water_usage_spring,water_usage_year,RF_summer,RF_autumn,RF_winter,RF_spring,RF_year,ET_summer,ET_autumn,ET_winter,ET_spring,ET_year
998882,BURWOOD RESERVE,24098,2013,31,22,24,33,110,143.1000032,117.6000004,251.6000023,227.5000076,739.8000135,473.8000027,238.6999995,122.6999998,294.1999991,1129.400001
69649,ASHBURTON PARK,13835,2013,1431,1423,79,87,3020,143.1000032,117.6000004,251.6000023,227.5000076,739.8000135,473.8000027,238.6999995,122.6999998,294.1999991,1129.400001
70353,DE WINTON PARK,14588,2013,72,96,98,182,448,123.8000045,115.2999973,233.2999992,199.4000053,671.8000063,482.9000001,241.7000012,124.3999998,300.8999998,1149.900001
70097,CENTRAL RESERVE,60116,2013,1342,870,158,604,2974,150.5000014,124.7000027,262.5,267.1000061,804.8000102,469.2000007,234.8000002,119.1999999,287.5000005,1110.700001
1010721,HOSKEN RESERVE,19331,2013,55,121,84,98,358,109.8219856,115.4566587,220.4399498,185.7936557,631.5122498,481.0583557,244.816711,125.6860576,301.3860574,1152.947182
80933,WONGA PARK RESERVE,14782,2013,759,996,6,1296,3057,157.099997,104.7999992,250.3000031,231.5,743.6999993,478.5000036,232.6,116.0000002,281.7999995,1108.900003
635180,ELTHAM COLLEGE ENVIRONMENTAL RESERVE & SPORTING FA,30381,2013,0,0,0,0,0,147.8999991,106.8000011,220.2000008,213.8999939,688.7999949,478.4000046,233.2999995,114.6,283.3999985,1109.700003
69590,ANDERSON PARK,17121,2013,2370,1174,4,1200,4748,117.1999998,110.0999985,241.1000023,193.1999969,661.5999975,482.4000024,239.1999988,121.1999997,292.1999999,1135.000001
1176107,LYNDEN PARK,27139,2013,4,11,11,4,30,143.1000032,117.6000004,251.6000023,227.5000076,739.8000135,473.8000027,238.6999995,122.6999998,294.1999991,1129.400001
902966,MILL PARK LAKES RECREATION RESERVE,36398,2013,0,0,0,0,0,136.1510218,119.1645277,235.299415,205.9985461,696.6135106,480.4854239,237.1917403,115.9931972,290.6873664,1124.357728
